batch_id,date,product_id,operator,shift,start_time,end_time,actual_batch_time_min,quantity_produced
B0045,2026-01-12,P003,OP01,Morning,08:10:00,09:22:00,72,1061
B0046,2026-03-20,P004,OP03,Morning,09:10:00,10:25:00,75,1252
B0047,2026-03-25,P005,OP04,Afternoon,13:10:00,14:36:00,86,773
B0048,2026-02-01,P001,OP05,Afternoon,12:40:00,13:42:00,62,1305
B0049,2026-04-16,P005,OP01,Morning,07:40:00,08:52:00,72,753
B0050,2026-06-30,P005,OP05,Morning,08:10:00,09:22:00,72,739
B0051,2026-01-24,P003,OP04,Afternoon,14:20:00,15:22:00,62,1206
B0052,2026-02-12,P005,OP04,Morning,07:20:00,08:32:00,72,932
B0053,2026-06-16,P003,OP05,Morning,08:20:00,09:22:00,62,1221
B0054,2026-04-07,P001,OP02,Morning,08:40:00,09:50:00,70,1104
B0055,2026-02-01,P005,OP04,Afternoon,14:40:00,16:06:00,86,801
B0056,2026-06-03,P001,OP06,Night,20:40:00,21:42:00,62,1019
B0057,2026-04-09,P002,OP01,Afternoon,13:10:00,14:00:00,50,1055
B0058,2026-04-04,P004,OP06,Morning,08:50:00,09:48:00,58,1204
B0059,2026-01-08,P005,OP01,Afternoon,14:00:00,15:21:00,81,868
B0060,2026-02-14,P001,OP02,Afternoon,13:00:00,14:09:00,69,1164
B0061,2026-01-01,P001,OP01,Afternoon,14:00:00,14:55:00,55,1066
B0062,2026-05-02,P005,OP05,Afternoon,12:10:00,13:38:00,88,919
B0063,2026-01-21,P003,OP01,Afternoon,12:40:00,13:41:00,61,1124
B0064,2026-01-10,P002,OP02,Afternoon,12:30:00,13:40:00,70,1075
B0065,2026-01-01,P005,OP01,Afternoon,12:50:00,14:16:00,86,745
B0066,2026-04-18,P004,OP03,Afternoon,14:10:00,15:18:00,68,1232
B0067,2026-03-17,P004,OP04,Afternoon,13:20:00,14:34:00,74,1234
B0068,2026-06-15,P001,OP03,Morning,08:30:00,09:34:00,64,1296
B0069,2026-03-14,P002,OP04,Morning,08:00:00,08:50:00,50,1013
B0070,2026-02-24,P003,OP03,Morning,08:30:00,09:23:00,53,1231
B0071,2026-04-17,P002,OP04,Afternoon,13:20:00,14:25:00,65,1097
B0072,2026-06-24,P004,OP04,Night,20:40:00,21:50:00,70,1194
B0073,2026-02-14,P005,OP02,Afternoon,14:00:00,15:24:00,84,859
B0074,2026-01-15,P002,OP02,Morning,09:40:00,10:45:00,65,1035
B0075,2026-05-08,P002,OP06,Morning,08:50:00,09:43:00,53,1064
B0076,2026-01-14,P004,OP06,Morning,09:30:00,10:39:00,69,1059
B0077,2026-03-02,P001,OP01,Afternoon,14:50:00,15:58:00,68,1138
B0078,2026-06-23,P005,OP04,Night,20:00:00,21:19:00,79,926
B0079,2026-06-01,P002,OP05,Afternoon,14:00:00,14:55:00,55,1115
B0080,2026-04-25,P002,OP02,Afternoon,12:10:00,13:16:00,66,984
B0081,2026-06-02,P003,OP06,Afternoon,12:20:00,13:18:00,58,1185
B0082,2026-05-15,P002,OP04,Afternoon,14:30:00,15:32:00,62,1226
B0083,2026-03-19,P003,OP06,Night,22:50:00,23:42:00,52,1120
B0084,2026-04-24,P001,OP04,Morning,08:20:00,09:28:00,68,1185
B0085,2026-03-18,P003,OP02,Morning,08:50:00,09:52:00,62,1119
B0086,2026-05-26,P003,OP04,Afternoon,14:40:00,15:43:00,63,983
B0087,2026-03-25,P001,OP06,Afternoon,13:50:00,14:45:00,55,1124
B0088,2026-01-20,P002,OP06,Afternoon,14:20:00,15:10:00,50,1084
B0089,2026-06-08,P003,OP06,Night,20:30:00,21:34:00,64,1148
B0090,2026-04-08,P005,OP05,Afternoon,12:00:00,13:23:00,83,648
B0091,2026-06-18,P004,OP05,Afternoon,14:00:00,15:00:00,60,1084
B0092,2026-06-14,P003,OP02,Night,21:00:00,22:00:00,60,1224
B0093,2026-05-18,P005,OP03,Afternoon,13:50:00,15:03:00,73,582
B0094,2026-06-13,P003,OP02,Morning,09:00:00,09:58:00,58,1182
B0095,2026-05-03,P004,OP03,Afternoon,13:00:00,14:20:00,80,1215
B0096,2026-01-22,P005,OP04,Afternoon,14:20:00,15:32:00,72,814
B0097,2026-03-04,P002,OP01,Morning,07:30:00,08:32:00,62,1228
B0098,2026-06-09,P002,OP03,Night,21:50:00,22:48:00,58,1118
B0099,2026-03-11,P002,OP02,Night,21:30:00,22:24:00,54,969
B0100,2026-01-05,P001,OP02,Morning,06:40:00,07:45:00,65,1414
B0101,2026-04-16,P002,OP05,Afternoon,14:50:00,15:57:00,67,1153
B0102,2026-02-18,P001,OP05,Afternoon,14:30:00,15:43:00,73,1158
B0103,2026-06-19,P001,OP03,Night,21:00:00,21:57:00,57,1129
B0104,2026-06-28,P003,OP03,Morning,08:00:00,08:58:00,58,1107
B0105,2026-06-12,P001,OP05,Morning,06:00:00,07:01:00,61,1258
B0106,2026-03-17,P001,OP06,Afternoon,13:40:00,14:35:00,55,1059
B0107,2026-03-26,P002,OP06,Morning,09:10:00,10:00:00,50,1065
B0108,2026-05-15,P005,OP02,Morning,06:00:00,07:12:00,72,840
B0109,2026-02-27,P005,OP01,Morning,06:30:00,07:55:00,85,872
B0110,2026-03-28,P003,OP02,Afternoon,14:30:00,15:22:00,52,1208
B0111,2026-03-24,P004,OP01,Night,22:30:00,23:36:00,66,1173
B0112,2026-06-14,P002,OP06,Afternoon,13:10:00,14:14:00,64,1257
B0113,2026-04-04,P002,OP03,Morning,07:00:00,08:00:00,60,1039
B0114,2026-04-30,P004,OP05,Afternoon,13:00:00,14:16:00,76,1222
B0115,2026-05-21,P004,OP01,Morning,07:00:00,08:06:00,66,1082
B0116,2026-04-11,P003,OP06,Morning,07:30:00,08:32:00,62,1203
B0117,2026-02-03,P001,OP02,Afternoon,14:00:00,15:07:00,67,1235
B0118,2026-01-10,P001,OP04,Night,21:20:00,22:23:00,63,1123
B0119,2026-05-17,P004,OP05,Afternoon,13:30:00,14:35:00,65,1088
B0120,2026-06-20,P004,OP01,Afternoon,14:20:00,15:22:00,62,1143
B0121,2026-01-29,P001,OP05,Night,22:50:00,23:50:00,60,1329
B0122,2026-02-14,P003,OP02,Afternoon,13:40:00,14:40:00,60,1202
B0123,2026-04-29,P004,OP05,Afternoon,14:40:00,15:38:00,58,1165
B0124,2026-04-02,P001,OP01,Afternoon,13:40:00,14:41:00,61,1371
B0125,2026-06-18,P002,OP06,Morning,07:30:00,08:50:00,80,1276
B0126,2026-04-15,P003,OP06,Morning,09:00:00,10:00:00,60,1225
B0127,2026-02-25,P002,OP05,Night,21:50:00,22:41:00,51,1070
B0128,2026-03-04,P001,OP02,Morning,07:00:00,08:00:00,60,1147
B0129,2026-01-02,P005,OP03,Afternoon,12:10:00,13:22:00,72,623
B0130,2026-02-26,P005,OP05,Night,21:00:00,22:27:00,87,700
B0131,2026-03-16,P002,OP01,Afternoon,13:30:00,14:20:00,50,1046
B0132,2026-04-05,P001,OP01,Morning,08:10:00,09:20:00,70,1139
B0133,2026-06-03,P002,OP03,Afternoon,14:00:00,14:57:00,57,1342
B0134,2026-02-12,P001,OP06,Morning,08:20:00,09:15:00,55,1132
B0135,2026-02-03,P004,OP02,Night,20:10:00,21:26:00,76,1247
B0136,2026-02-23,P005,OP01,Night,21:30:00,22:46:00,76,785
B0137,2026-03-13,P002,OP04,Morning,06:50:00,07:48:00,58,1240
B0138,2026-01-27,P003,OP01,Morning,07:50:00,08:49:00,59,1284
B0139,2026-01-01,P003,OP02,Afternoon,12:50:00,13:52:00,62,1167
B0140,2026-01-26,P004,OP05,Afternoon,13:00:00,14:09:00,69,1242
B0141,2026-06-18,P004,OP03,Afternoon,12:50:00,13:56:00,66,1236
B0142,2026-04-07,P003,OP03,Morning,09:20:00,10:12:00,52,1176
B0143,2026-05-25,P001,OP01,Afternoon,12:40:00,13:45:00,65,1255
B0144,2026-05-11,P003,OP03,Afternoon,13:10:00,14:13:00,63,1241
B0145,2026-01-17,P005,OP05,Morning,08:50:00,10:02:00,72,829
B0146,2026-03-23,P003,OP04,Morning,08:20:00,09:30:00,70,1361
B0147,2026-06-11,P004,OP04,Afternoon,13:20:00,14:27:00,67,1274
B0148,2026-05-07,P002,OP03,Morning,06:30:00,07:30:00,60,1260
B0149,2026-02-25,P002,OP01,Morning,09:40:00,10:34:00,54,1051
B0150,2026-02-01,P002,OP01,Morning,09:10:00,10:12:00,62,1230
B0151,2026-06-23,P004,OP04,Night,20:10:00,21:08:00,58,1203
B0152,2026-05-10,P002,OP06,Afternoon,14:30:00,15:31:00,61,1152
B0153,2026-03-07,P005,OP03,Night,21:30:00,22:43:00,73,887
B0154,2026-05-28,P001,OP03,Night,20:40:00,21:47:00,67,1113
B0155,2026-06-30,P004,OP05,Afternoon,13:10:00,14:08:00,58,1332
B0156,2026-02-25,P003,OP02,Morning,07:10:00,08:20:00,70,1158
B0157,2026-03-08,P002,OP01,Afternoon,14:00:00,15:08:00,68,1193
B0158,2026-01-21,P005,OP03,Morning,07:50:00,09:12:00,82,918
B0159,2026-02-22,P001,OP06,Morning,07:30:00,08:36:00,66,1205
B0160,2026-03-23,P005,OP01,Morning,06:40:00,07:58:00,78,746
B0161,2026-05-25,P005,OP04,Night,20:50:00,22:10:00,80,942
B0162,2026-02-28,P003,OP02,Morning,09:40:00,10:44:00,64,1246
B0163,2026-05-04,P005,OP05,Morning,08:20:00,09:46:00,86,933
B0164,2026-02-10,P001,OP06,Night,20:00:00,21:11:00,71,1167
B0165,2026-04-03,P001,OP01,Morning,07:40:00,08:41:00,61,1183
B0166,2026-03-03,P001,OP02,Night,20:00:00,20:57:00,57,1176
B0167,2026-03-18,P004,OP03,Morning,08:20:00,09:26:00,66,1192
B0168,2026-02-25,P001,OP03,Morning,09:10:00,10:13:00,63,1262
B0169,2026-01-30,P005,OP02,Morning,09:20:00,10:47:00,87,824
B0170,2026-06-16,P005,OP03,Night,21:30:00,22:42:00,72,672
B0171,2026-06-21,P004,OP02,Afternoon,14:00:00,15:00:00,60,1421
B0172,2026-04-07,P003,OP01,Afternoon,14:40:00,15:39:00,59,1110
B0173,2026-03-05,P002,OP04,Morning,07:40:00,08:41:00,61,1081
B0174,2026-06-02,P001,OP01,Morning,09:50:00,10:51:00,61,1232
B0175,2026-01-18,P003,OP03,Night,21:10:00,22:15:00,65,1374
B0176,2026-02-24,P001,OP05,Morning,08:00:00,08:55:00,55,1156
B0177,2026-04-28,P002,OP06,Morning,07:30:00,08:22:00,52,1405
B0178,2026-03-17,P005,OP02,Night,21:30:00,22:42:00,72,675
B0179,2026-03-15,P005,OP01,Afternoon,14:00:00,15:29:00,89,836
B0180,2026-02-08,P002,OP03,Night,22:50:00,23:52:00,62,1250
B0181,2026-03-01,P003,OP03,Night,21:00:00,22:01:00,61,1229
B0182,2026-04-29,P001,OP02,Morning,08:20:00,09:32:00,72,1109
B0183,2026-03-21,P003,OP03,Night,20:20:00,21:12:00,52,1184
B0184,2026-06-25,P003,OP04,Afternoon,13:20:00,14:15:00,55,1143
B0185,2026-04-07,P001,OP01,Afternoon,13:40:00,14:44:00,64,1271
B0186,2026-04-07,P005,OP02,Night,21:50:00,23:15:00,85,853
B0187,2026-06-03,P005,OP03,Afternoon,14:30:00,15:50:00,80,746
B0188,2026-01-16,P004,OP01,Night,21:40:00,22:38:00,58,1271
B0189,2026-06-19,P005,OP02,Morning,08:40:00,10:06:00,86,815
B0190,2026-01-28,P003,OP03,Night,22:30:00,23:22:00,52,1140
B0191,2026-06-24,P002,OP06,Morning,06:50:00,07:52:00,62,1267
B0192,2026-05-13,P002,OP04,Morning,09:50:00,10:46:00,56,1093
B0193,2026-01-13,P002,OP02,Night,21:40:00,22:37:00,57,1233
B0194,2026-04-15,P003,OP01,Morning,08:30:00,09:22:00,52,1220
B0195,2026-06-18,P001,OP02,Morning,08:20:00,09:15:00,55,1103
B0196,2026-02-10,P005,OP05,Morning,09:20:00,10:45:00,85,1043
B0197,2026-01-25,P001,OP03,Afternoon,12:40:00,13:36:00,56,1407
B0198,2026-04-09,P005,OP02,Morning,09:00:00,10:24:00,84,683
B0199,2026-01-01,P001,OP06,Afternoon,13:20:00,14:19:00,59,1163
B0200,2026-06-29,P005,OP01,Morning,06:00:00,07:17:00,77,833
B0201,2026-05-02,P004,OP06,Afternoon,14:00:00,15:12:00,72,1236
B0202,2026-06-17,P003,OP05,Afternoon,14:20:00,15:22:00,62,1332
B0203,2026-03-24,P002,OP03,Morning,08:40:00,09:39:00,59,1312
B0204,2026-05-12,P005,OP03,Afternoon,12:50:00,14:06:00,76,841
B0205,2026-05-29,P003,OP02,Night,21:00:00,21:52:00,52,1306
B0206,2026-06-18,P001,OP01,Afternoon,13:10:00,14:15:00,65,1258
B0207,2026-04-02,P003,OP05,Night,21:10:00,22:19:00,69,1323
B0208,2026-03-15,P005,OP03,Morning,07:10:00,08:28:00,78,781
B0209,2026-02-03,P003,OP04,Morning,09:50:00,10:56:00,66,1258
B0210,2026-05-19,P001,OP02,Afternoon,13:50:00,14:55:00,65,1192
B0211,2026-01-18,P003,OP03,Morning,06:30:00,07:33:00,63,1074
B0212,2026-04-21,P005,OP01,Afternoon,12:40:00,13:58:00,78,746
B0213,2026-05-11,P004,OP04,Morning,09:20:00,10:25:00,65,1406
B0214,2026-03-20,P003,OP04,Night,21:30:00,22:24:00,54,1241
B0215,2026-01-09,P002,OP05,Morning,07:30:00,08:20:00,50,1209
B0216,2026-01-21,P005,OP05,Morning,09:10:00,10:45:00,95,668
B0217,2026-03-13,P003,OP02,Night,22:20:00,23:22:00,62,1269
B0218,2026-05-23,P001,OP03,Morning,08:40:00,09:39:00,59,1197
B0219,2026-01-27,P003,OP01,Afternoon,13:40:00,14:32:00,52,1264
B0220,2026-02-20,P002,OP02,Morning,08:40:00,09:37:00,57,1244
B0221,2026-02-01,P002,OP02,Morning,09:10:00,10:12:00,62,1280
B0222,2026-04-08,P005,OP05,Afternoon,14:30:00,15:48:00,78,625
B0223,2026-03-21,P005,OP06,Afternoon,12:20:00,13:48:00,88,907
B0224,2026-03-26,P002,OP03,Afternoon,12:10:00,13:15:00,65,1095
B0225,2026-02-05,P005,OP05,Night,20:20:00,21:51:00,91,776
B0226,2026-05-16,P003,OP02,Night,20:10:00,21:02:00,52,1127
B0227,2026-02-10,P001,OP02,Night,22:10:00,23:10:00,60,1076
B0228,2026-05-14,P005,OP02,Morning,07:40:00,08:57:00,77,812
B0229,2026-03-18,P002,OP02,Night,22:10:00,23:09:00,59,1265
B0230,2026-05-21,P004,OP05,Morning,08:30:00,09:28:00,58,1086
B0231,2026-03-07,P001,OP06,Morning,09:20:00,10:22:00,62,1249
B0232,2026-03-03,P002,OP05,Morning,07:50:00,08:41:00,51,1159
B0233,2026-04-06,P004,OP04,Night,20:10:00,21:19:00,69,1228
B0234,2026-06-29,P004,OP05,Morning,06:20:00,07:35:00,75,1072
B0235,2026-02-13,P004,OP02,Night,20:10:00,21:13:00,63,1225
B0236,2026-02-19,P005,OP01,Morning,08:00:00,09:40:00,100,640
B0237,2026-01-16,P003,OP01,Afternoon,14:50:00,15:58:00,68,1217
B0238,2026-01-14,P001,OP02,Night,21:00:00,21:55:00,55,1125
B0239,2026-01-23,P005,OP05,Afternoon,13:40:00,15:07:00,87,800
B0240,2026-01-09,P004,OP05,Morning,07:30:00,08:41:00,71,1065
B0241,2026-04-02,P002,OP04,Afternoon,14:40:00,15:34:00,54,1314
B0242,2026-02-15,P001,OP04,Afternoon,14:50:00,15:45:00,55,1267
B0243,2026-03-13,P003,OP03,Afternoon,13:50:00,14:58:00,68,1137
B0244,2026-01-18,P004,OP02,Morning,09:40:00,10:38:00,58,1212
B0245,2026-02-07,P003,OP03,Afternoon,12:40:00,13:35:00,55,1174
B0246,2026-02-27,P003,OP04,Morning,09:20:00,10:24:00,64,1151
B0247,2026-03-17,P001,OP06,Afternoon,14:50:00,15:52:00,62,1075
B0248,2026-02-23,P003,OP02,Afternoon,12:50:00,14:07:00,77,1043
B0249,2026-03-22,P003,OP05,Afternoon,13:30:00,14:32:00,62,1371
B0250,2026-02-26,P005,OP02,Afternoon,12:50:00,14:02:00,72,857
B0251,2026-01-31,P005,OP06,Morning,06:00:00,07:24:00,84,679
B0252,2026-03-10,P005,OP01,Morning,08:40:00,10:01:00,81,715
B0253,2026-01-07,P005,OP04,Afternoon,13:20:00,14:38:00,78,670
B0254,2026-01-31,P001,OP03,Afternoon,12:50:00,13:54:00,64,1165
B0255,2026-05-05,P004,OP02,Night,22:10:00,23:12:00,62,1228
B0256,2026-03-23,P005,OP05,Morning,07:30:00,08:46:00,76,898
B0257,2026-03-22,P003,OP04,Morning,08:00:00,08:52:00,52,1130
B0258,2026-05-16,P002,OP03,Morning,09:10:00,10:14:00,64,1117
B0259,2026-06-03,P003,OP05,Afternoon,13:50:00,14:42:00,52,1353
B0260,2026-06-18,P003,OP03,Afternoon,13:20:00,14:30:00,70,1272
B0261,2026-04-04,P003,OP06,Afternoon,12:10:00,13:18:00,68,1056
B0262,2026-01-27,P001,OP01,Morning,08:30:00,09:31:00,61,1033
B0263,2026-06-26,P005,OP01,Morning,07:20:00,08:40:00,80,839
B0264,2026-02-22,P001,OP05,Night,21:50:00,22:53:00,63,1203
B0265,2026-05-27,P002,OP02,Morning,09:50:00,10:49:00,59,1158
B0266,2026-01-20,P003,OP04,Night,22:40:00,23:45:00,65,1309
B0267,2026-02-10,P002,OP02,Night,22:10:00,23:02:00,52,1179
B0268,2026-01-07,P003,OP02,Afternoon,13:40:00,14:41:00,61,1219
B0269,2026-05-27,P002,OP03,Morning,09:10:00,10:14:00,64,1065
B0270,2026-01-19,P003,OP05,Morning,07:10:00,08:15:00,65,1142
B0271,2026-05-05,P001,OP01,Afternoon,12:30:00,13:32:00,62,1293
B0272,2026-02-11,P002,OP03,Morning,06:10:00,07:15:00,65,1226
B0273,2026-04-18,P003,OP06,Morning,06:30:00,07:36:00,66,1149
B0274,2026-06-23,P003,OP06,Morning,08:00:00,09:13:00,73,1328
B0275,2026-01-19,P004,OP03,Morning,06:40:00,07:38:00,58,1224
B0276,2026-04-05,P004,OP05,Morning,08:00:00,09:01:00,61,1097
B0277,2026-06-06,P002,OP02,Morning,08:10:00,09:05:00,55,1103
B0278,2026-04-21,P001,OP06,Night,22:50:00,23:45:00,55,1202
B0279,2026-02-05,P005,OP06,Afternoon,13:30:00,14:54:00,84,537
B0280,2026-03-29,P003,OP03,Morning,08:50:00,09:42:00,52,1101
B0281,2026-04-05,P003,OP03,Morning,06:10:00,07:06:00,56,1108
B0282,2026-03-10,P003,OP02,Night,21:20:00,22:29:00,69,1078
B0283,2026-02-06,P001,OP06,Afternoon,14:50:00,15:45:00,55,1208
B0284,2026-04-09,P001,OP01,Afternoon,13:40:00,14:37:00,57,1121
B0285,2026-01-26,P002,OP02,Afternoon,13:50:00,14:50:00,60,1107
B0286,2026-02-15,P001,OP04,Night,20:40:00,21:39:00,59,1175
B0287,2026-01-25,P002,OP01,Morning,08:10:00,09:05:00,55,1271
B0288,2026-03-19,P003,OP01,Morning,07:10:00,08:15:00,65,1029
B0289,2026-03-02,P002,OP03,Afternoon,13:00:00,13:58:00,58,1177
B0290,2026-04-25,P002,OP04,Morning,09:00:00,09:50:00,50,1235
B0291,2026-06-27,P004,OP04,Morning,07:50:00,08:58:00,68,1191
B0292,2026-05-14,P002,OP01,Afternoon,14:00:00,15:00:00,60,1073
B0293,2026-01-15,P005,OP03,Morning,07:00:00,08:12:00,72,959
B0294,2026-02-07,P005,OP01,Morning,08:50:00,10:10:00,80,740
B0295,2026-05-13,P005,OP04,Morning,06:10:00,07:30:00,80,679
B0296,2026-03-16,P002,OP06,Afternoon,12:00:00,13:07:00,67,1155
B0297,2026-03-14,P001,OP03,Afternoon,12:20:00,13:30:00,70,1110
B0298,2026-03-14,P004,OP03,Afternoon,13:10:00,14:08:00,58,1110
B0299,2026-01-08,P002,OP06,Morning,09:40:00,10:30:00,50,1304
B0300,2026-03-04,P005,OP01,Night,22:50:00,00:02:00,72,745
B0301,2026-03-30,P001,OP03,Afternoon,13:00:00,14:01:00,61,1184
B0302,2026-01-14,P002,OP06,Morning,07:00:00,07:50:00,50,1022
B0303,2026-03-05,P001,OP02,Morning,07:00:00,08:03:00,63,1005
B0304,2026-04-20,P001,OP01,Afternoon,13:30:00,14:40:00,70,1269
B0305,2026-06-18,P004,OP02,Afternoon,13:40:00,14:50:00,70,1211
B0306,2026-05-10,P002,OP05,Night,20:00:00,20:50:00,50,1338
B0307,2026-02-20,P001,OP04,Afternoon,14:00:00,14:59:00,59,1326
B0308,2026-05-17,P002,OP02,Morning,09:20:00,10:24:00,64,1217
B0309,2026-01-09,P002,OP06,Night,20:20:00,21:23:00,63,1249
B0310,2026-03-26,P003,OP02,Morning,08:40:00,09:55:00,75,1152
B0311,2026-06-24,P005,OP02,Afternoon,12:30:00,13:52:00,82,728
B0312,2026-04-12,P005,OP02,Afternoon,12:30:00,13:49:00,79,770
B0313,2026-03-11,P001,OP05,Afternoon,13:10:00,14:20:00,70,1167
B0314,2026-01-13,P001,OP04,Night,20:30:00,21:35:00,65,1254
B0315,2026-03-02,P002,OP05,Morning,07:50:00,08:41:00,51,1317
B0316,2026-06-16,P001,OP01,Night,22:20:00,23:18:00,58,1144
B0317,2026-05-14,P001,OP03,Night,21:00:00,22:03:00,63,1243
B0318,2026-01-22,P002,OP04,Afternoon,14:50:00,15:40:00,50,1109
B0319,2026-03-30,P002,OP01,Morning,09:20:00,10:22:00,62,1265
B0320,2026-04-09,P002,OP02,Morning,07:20:00,08:17:00,57,1201
B0321,2026-05-06,P004,OP04,Morning,07:50:00,09:00:00,70,1297
B0322,2026-06-15,P001,OP05,Morning,09:00:00,10:09:00,69,1288
B0323,2026-03-22,P001,OP04,Afternoon,14:30:00,15:32:00,62,1141
B0324,2026-06-17,P004,OP04,Afternoon,13:10:00,14:08:00,58,1221
B0325,2026-01-29,P003,OP06,Morning,08:10:00,09:02:00,52,1084
B0326,2026-05-06,P005,OP01,Afternoon,14:40:00,15:54:00,74,772
B0327,2026-04-17,P002,OP04,Morning,08:00:00,08:54:00,54,1057
B0328,2026-06-22,P005,OP05,Afternoon,13:10:00,14:35:00,85,585
B0329,2026-05-23,P002,OP04,Afternoon,12:20:00,13:22:00,62,986
B0330,2026-01-01,P002,OP02,Morning,09:50:00,10:52:00,62,1180
B0331,2026-06-02,P001,OP01,Morning,07:10:00,08:19:00,69,1211
B0332,2026-01-23,P003,OP02,Afternoon,14:00:00,15:09:00,69,1201
B0333,2026-05-14,P004,OP03,Night,20:10:00,21:32:00,82,1287
B0334,2026-05-07,P004,OP01,Morning,09:50:00,11:04:00,74,1283
B0335,2026-01-14,P001,OP01,Morning,07:20:00,08:17:00,57,951
B0336,2026-02-21,P003,OP05,Afternoon,14:00:00,15:09:00,69,1223
B0337,2026-02-22,P005,OP03,Afternoon,13:20:00,14:43:00,83,774
B0338,2026-03-05,P003,OP04,Morning,09:00:00,10:08:00,68,1201
B0339,2026-05-26,P003,OP06,Morning,06:00:00,07:07:00,67,1118
B0340,2026-04-14,P001,OP01,Afternoon,14:00:00,15:22:00,82,1275
B0341,2026-06-03,P004,OP04,Morning,06:10:00,07:15:00,65,1273
B0342,2026-03-13,P001,OP02,Afternoon,14:50:00,15:58:00,68,1255
B0343,2026-03-12,P001,OP05,Afternoon,14:40:00,15:45:00,65,1308
B0344,2026-06-14,P002,OP06,Afternoon,12:30:00,13:46:00,76,1333
B0345,2026-01-25,P005,OP01,Morning,09:50:00,11:08:00,78,789
B0346,2026-06-18,P001,OP05,Afternoon,14:40:00,15:43:00,63,1192
B0347,2026-06-09,P002,OP04,Afternoon,13:20:00,14:14:00,54,1055
B0348,2026-05-02,P005,OP05,Morning,07:30:00,08:42:00,72,827
B0349,2026-01-11,P002,OP01,Afternoon,14:30:00,15:32:00,62,1159
B0350,2026-02-21,P003,OP05,Afternoon,12:30:00,13:24:00,54,1051
B0351,2026-06-26,P003,OP06,Morning,06:40:00,07:51:00,71,1046
B0352,2026-03-10,P003,OP04,Morning,06:30:00,07:34:00,64,990
B0353,2026-02-17,P001,OP03,Morning,09:30:00,10:41:00,71,1389
