downtime_id,batch_id,factor_id,downtime_minutes
D00387,B0370,F04,7
D00388,B0371,F03,12
D00389,B0373,F02,21
D00390,B0375,F06,8
D00391,B0376,F02,26
D00392,B0378,F03,20
D00393,B0378,F02,32
D00394,B0380,F01,19
D00395,B0380,F03,15
D00396,B0380,F05,15
D00397,B0381,F08,16
D00398,B0382,F05,20
D00399,B0382,F03,16
D00400,B0383,F06,22
D00401,B0384,F02,19
D00402,B0384,F08,22
D00403,B0385,F07,5
D00404,B0385,F06,20
D00405,B0386,F03,11
D00406,B0386,F04,10
D00407,B0387,F06,13
D00408,B0388,F04,11
D00409,B0388,F01,28
D00410,B0390,F01,32
D00411,B0391,F01,27
D00412,B0391,F06,19
D00413,B0392,F01,24
D00414,B0394,F02,16
D00415,B0394,F06,20
D00416,B0394,F01,34
D00417,B0395,F01,24
D00418,B0395,F03,13
D00419,B0395,F05,11
D00420,B0397,F06,16
D00421,B0398,F02,16
D00422,B0399,F02,25
D00423,B0399,F08,24
D00424,B0402,F01,25
D00425,B0403,F03,14
D00426,B0403,F01,34
D00427,B0404,F01,19
D00428,B0405,F03,21
D00429,B0406,F01,13
D00430,B0406,F02,9
D00431,B0406,F06,13
D00432,B0407,F08,25
D00433,B0409,F07,18
D00434,B0409,F03,8
D00435,B0409,F04,10
D00436,B0411,F03,15
D00437,B0412,F04,13
D00438,B0412,F05,18
D00439,B0412,F06,8
D00440,B0413,F04,9
D00441,B0415,F01,23
D00442,B0416,F03,16
D00443,B0416,F06,24
D00444,B0417,F01,28
D00445,B0418,F02,15
D00446,B0418,F06,14
D00447,B0419,F01,13
D00448,B0419,F05,15
D00449,B0421,F06,19
D00450,B0421,F07,13
D00451,B0421,F04,7
D00452,B0422,F08,16
D00453,B0423,F04,14
D00454,B0424,F06,22
D00455,B0426,F05,8
D00456,B0427,F05,18
D00457,B0428,F01,22
D00458,B0429,F04,11
D00459,B0429,F05,8
D00460,B0430,F06,24
D00461,B0431,F03,12
D00462,B0432,F02,26
D00463,B0433,F05,8
D00464,B0433,F01,19
D00465,B0434,F05,11
D00466,B0435,F06,20
D00467,B0437,F04,7
D00468,B0438,F01,15
D00469,B0439,F02,13
D00470,B0440,F05,13
D00471,B0441,F06,8
D00472,B0441,F03,12
D00473,B0442,F02,21
D00474,B0443,F05,8
D00475,B0446,F06,9
D00476,B0446,F01,29
D00477,B0448,F01,19
D00478,B0449,F02,21
D00479,B0450,F07,10
D00480,B0451,F03,16
D00481,B0451,F04,11
D00482,B0453,F06,29
D00483,B0454,F03,10
D00484,B0454,F01,31
D00485,B0457,F06,19
D00486,B0458,F01,20
D00487,B0459,F06,34
D00488,B0459,F03,17
D00489,B0460,F01,37
D00490,B0460,F07,8
D00491,B0461,F04,5
D00492,B0461,F08,27
D00493,B0462,F06,21
D00494,B0463,F06,21
D00495,B0463,F01,38
D00496,B0463,F02,13
D00497,B0465,F01,16
D00498,B0465,F08,23
D00499,B0466,F03,17
D00500,B0469,F06,16
D00501,B0469,F08,35
D00502,B0470,F06,20
D00503,B0471,F06,17
D00504,B0472,F08,29
D00505,B0472,F06,14
D00506,B0473,F08,21
D00507,B0473,F01,25
D00508,B0473,F04,12
D00509,B0474,F01,31
D00510,B0478,F06,7
D00511,B0478,F08,27
D00512,B0479,F05,18
D00513,B0480,F06,3
D00514,B0480,F07,16
D00515,B0481,F01,30
D00516,B0482,F06,22
D00517,B0483,F08,15
D00518,B0483,F04,4
D00519,B0483,F07,14
D00520,B0484,F07,17
D00521,B0484,F04,8
D00522,B0487,F05,14
D00523,B0487,F04,11
D00524,B0488,F04,14
D00525,B0489,F05,9
D00526,B0489,F04,12
D00527,B0490,F01,22
D00528,B0490,F06,16
D00529,B0491,F06,20
D00530,B0492,F03,25
D00531,B0492,F02,17
D00532,B0493,F07,6
D00533,B0495,F01,17
D00534,B0497,F06,27
D00535,B0499,F06,15
D00536,B0501,F04,10
D00537,B0501,F01,16
D00538,B0503,F04,11
D00539,B0504,F02,38
D00540,B0504,F01,12
D00541,B0504,F06,16
D00542,B0507,F05,15
D00543,B0507,F04,10
D00544,B0508,F01,27
D00545,B0509,F06,10
D00546,B0509,F03,4
D00547,B0512,F03,5
D00548,B0515,F05,15
D00549,B0516,F03,18
D00550,B0518,F08,16
D00551,B0518,F04,10
D00552,B0520,F01,17
D00553,B0520,F08,24
D00554,B0521,F01,3
D00555,B0521,F06,33
D00556,B0522,F01,42
D00557,B0525,F04,11
D00558,B0525,F07,20
D00559,B0527,F08,42
D00560,B0528,F02,21
D00561,B0529,F06,16
D00562,B0530,F03,15
D00563,B0530,F04,16
D00564,B0531,F05,9
D00565,B0532,F07,20
D00566,B0532,F01,16
D00567,B0533,F02,18
D00568,B0534,F02,23
D00569,B0535,F07,17
D00570,B0536,F01,22
D00571,B0540,F03,17
D00572,B0541,F04,13
D00573,B0543,F05,14
D00574,B0545,F03,16
D00575,B0546,F04,12
D00576,B0547,F02,17
D00577,B0549,F06,19
D00578,B0551,F08,29
D00579,B0552,F06,9
D00580,B0554,F04,12
D00581,B0555,F03,23
D00582,B0555,F06,22
D00583,B0556,F08,30
D00584,B0558,F08,20
D00585,B0559,F03,21
D00586,B0560,F07,16
D00587,B0560,F04,8
D00588,B0561,F06,26
D00589,B0562,F07,26
D00590,B0562,F06,19
D00591,B0563,F01,35
D00592,B0565,F06,25
D00593,B0565,F08,19
D00594,B0567,F07,24
D00595,B0567,F01,33
D00596,B0569,F04,17
D00597,B0570,F07,22
D00598,B0570,F08,25
D00599,B0570,F03,17
D00600,B0572,F08,21
D00601,B0572,F04,10
D00602,B0575,F04,13
D00603,B0576,F02,24
D00604,B0576,F01,24
D00605,B0577,F06,18
D00606,B0578,F03,13
D00607,B0579,F03,29
D00608,B0580,F02,13
D00609,B0582,F01,19
D00610,B0582,F03,14
D00611,B0583,F03,9
D00612,B0584,F02,24
D00613,B0584,F01,9
D00614,B0586,F04,4
D00615,B0586,F02,26
D00616,B0589,F05,15
D00617,B0590,F01,29
D00618,B0591,F01,17
D00619,B0593,F07,7
D00620,B0593,F04,16
D00621,B0595,F05,9
D00622,B0596,F02,31
D00623,B0597,F06,17
D00624,B0598,F07,14
D00625,B0600,F06,9
